county,population,over65,pop_per_over_65,poverty_rate,pv_rate_per,num_ove_65_below_pov,pct_above_65_and_below_pov,without_car,sixtyfiveplus_per_growth_between_2019_2030,per_tot_pop_sixtyfiveplus_by_2030,veterans,per_african_american,minority_calls
Polk,"16,832",3634,0.2159,15.8,0.158,574,0.034101711,0.09,0.21,0.26,0.21,0.8,
Putnam,"80,245",13736,0.1712,14.5,0.145,1992,0.024823977,0.07,0.28,0.21,0.18,2.4,5
Rhea,"33,167",6,0.0002,18.4,0.184,1,3.02E-05,0.1,0.24,0.23,0.22,2.2,30
Roane,"53,382",13,0.0002,14.8,0.148,2,3.75E-05,0.06,0.18,0.29,0.24,2.7,1
Robertson,"71,813",11197,0.1559,10.6,0.106,1187,0.016529041,0.07,0.39,0.19,0.22,7.6,32
Rutherford,"332,285",36608,0.1102,10.4,0.104,3807,0.011457032,0.08,0.59,0.14,0.24,15.8,864
Scott,"22,068",4,0.0002,21.2,0.212,1,4.53E-05,0.09,0.21,0.21,0.18,0.3,
Sequatchie,"15,026",3373,0.2245,16,0.16,540,0.035937708,0.05,0.32,0.26,0.23,0.8,
Sevier,"98,250",20414,0.2078,13.9,0.139,2838,0.028885496,0.07,0.32,0.24,0.22,1.3,34
Shelby,"937,166",129683,0.1384,21.7,0.217,28141,0.030027765,0.14,0.25,0.16,0.19,54.2,5575
Smith,"20,157",3491,0.1732,13.9,0.139,485,0.02406112,0.1,0.31,0.22,0.16,2.3,11
Stewart,"13,715",2807,0.2047,13.9,0.139,390,0.028436019,0.07,0.22,0.26,0.24,1.8,10
Sullivan,"158,348",35158,0.222,16.5,0.165,5801,0.036634501,0.1,0.15,0.26,0.23,2.3,112
Sumner,"191,283",31330,0.1638,8.9,0.089,2788,0.014575263,0.08,0.38,0.2,0.21,7.9,85
Tipton,"61,599",9519,0.1545,12,0.12,1142,0.018539262,0.05,0.34,0.18,0.22,18.5,128
Trousdale,"11,284",1410,0.125,18.6,0.186,262,0.023218717,0.06,0.29,0.19,0.19,11.5,28
Unicoi,"17,883",4317,0.2414,16.1,0.161,695,0.038863725,0.11,0.18,0.29,0.2,0.6,2
Union,"19,972",3677,0.1841,19.8,0.198,728,0.036451031,0.08,0.3,0.25,0.18,0.5,8
Van Buren,"5,872",1351,0.2301,16.3,0.163,220,0.03746594,0.06,0.17,0.29,0.23,0.8,2
Warren,"41,277",7589,0.1839,22.5,0.225,1708,0.041378976,0.1,0.2,0.22,0.16,3.8,8
Washington,"129,375",24750,0.1913,14.9,0.149,3688,0.02850628,0.09,0.26,0.22,0.24,4.5,129
Wayne,"16,673",3317,0.1989,21.3,0.213,707,0.042403887,0.06,0.13,0.23,0.16,6.4,4
Weakley,"33,328",6356,0.1907,19.7,0.197,1252,0.037566011,0.05,0.13,0.23,0.18,7.7,9
White,"27,345",5766,0.2109,17.3,0.173,998,0.036496617,0.08,0.22,0.25,0.21,1.8,
Williamson,"238,412",32183,0.135,3.8,0.038,1223,0.005129775,0.06,0.57,0.17,0.19,4.5,102
Wilson,"144,657",23195,0.1603,7.8,0.078,1809,0.012505444,0.06,0.44,0.2,0.21,7.3,114
